Food,Food_long,Food_group,DQQ_food_group,DQQ_question,USDA_FDC_ID,Country,Energy_kcal,Carbohydrates_g,Fiber_g,Protein_g,Monounsaturated_FAs_g,Polyunsaturated_FAs_g,Unsaturated_FAs_g,Saturated_FAs_g,VitA_RAE_mcg,VitC_mg,VitD_mcg,VitE_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_DFE_mcg,VitB12_mcg,Choline_mg,Iron_mg,Zinc_mg,Calcium_mg,Potassium_mg,Magnesium_mg,Sodium_mg,Phytate_mg,DHA_g,EPA_g,DPA_g,ALA_g,DIAAS,Iron_Abs,Zinc_Abs,Liquids,Unsweetened_dairy,Dried_consumed_rehydrated,Energy_kcal_fresh,UPF,Fortified_4Vitamins,Fortified_2Minerals,Comments
Breadfruit,"Breadfruit, cooked",Starchy staples,"White roots, tubers, and plantains",Q3,2345402,Indonesia,123,26.26,4.7,1.04,0.91,0.82,1.73,0.72,11,23.9,0,0.44,0.1,0.03,0.83,0.1,12,0,9.7,0.53,0.12,17,475,24,123,40.15,0,0,0,0.04,0.71,0.1,0.44,No,No,No,,No,No,No,Phytate value for cooked breadfruit missing; used phytate value for raw breadfruit as a proxy
Broccoli,"Broccoli, average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Indonesia,35,6.91,2.95,2.6,0.04,0.14,0.18,0.1,54,77.05,0,1.12,0.07,0.12,0.6,0.19,85.5,0,29.4,0.7,0.43,43.5,304.5,21,37,25.66,0,0,0,0.1,0.8,0.1,0.44,No,No,No,,No,No,No,
Broccoli ,"Broccoli, average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.2,N/A,Kenya,35,6.91,2.95,2.6,0.04,0.14,0.18,0.1,54,77.05,0,1.12,0.07,0.12,0.6,0.19,85.5,0,29.4,0.7,0.43,43.5,304.5,21,37,25.66,0,0,0,0.1,0.8,0.1,0.44,No,No,No,,No,No,No,
Brown cowpeas,"Cowpea, brown, soaked, boiled in different water (without salt), drained","Pulses, nuts, and seeds",Legumes,Q4,03_096 (from WA FCT),Nigeria,122,17.6,4.8,8.9,0.04,0.34,0.38,0.18,0,0,0,0.24,0.08,0.02,1.9,0.08,78,0,32.2,2.2,1.33,25,306,99,7,496.1,0,0,0,0.13,0.78,0.1,0.26,No,No,No,,No,No,No,"Used choline, DHA, EPA, DPA, and eaa values for blackeyes cowpeas"
Brown rice,"Brown rice, cooked, unenriched, average of long- and medium-grain",Starchy staples,Whole grains,Q2,N/A,Indonesia,118,24.55,1.7,2.53,0.33,0.33,0.67,0.21,0,0,0,0.17,0.14,0.04,1.95,0.14,6.5,0,9.2,0.55,0.67,6.5,82.5,41.5,2.5,612.16,0,0,0,0.01,0.56,0.1,0.26,No,No,No,,No,No,No,
Brown rice,"Brown rice, cooked, unenriched, average of long- and medium-grain",Starchy staples,Whole grains,Q2,N/A,Bangladesh,118,24.55,1.7,2.53,0.33,0.33,0.67,0.21,0,0,0,0.17,0.14,0.04,1.95,0.14,6.5,0,9.2,0.55,0.67,6.5,82.5,41.5,2.5,612.16,0,0,0,0.01,0.56,0.1,0.26,No,No,No,,No,No,No,
Buffalo,"Game meat, buffalo, water, cooked, roasted",Animal-source foods,Unprocessed red meat (ruminant),Q17,175300,Indonesia,131,0,0,26.83,0.55,0.36,0.91,0.6,0,0,0.2,0.33,0.03,0.25,6.29,0.46,9,1.75,150.15,2.12,2.54,15,313,33,56,0,0,0,0,0.02,1.12,0.2,0.44,No,No,No,,No,No,No,No other cooking methods available
Butternut squash,"Squash, winter, butternut, cooked, baked, without salt",Vegetables,Vitamin A-rich orange vegetables,Q5,169296,Kenya,40,10.49,3.2,0.9,0.01,0.04,0.05,0.02,558,15.1,0,1.29,0.07,0.02,0.97,0.12,19,0,8.66,0.6,0.13,41,284,29,4,19.72,0,0,0,0.03,0.8,0.1,0.44,No,No,No,,No,No,No,Used phytate for pumpkin as a proxy
Cabbage,"Cabbage, average of common and Chinese (pe-tsai), and of raw and cooked",Vegetables,Other vegetables,Q7.1,N/A,Indonesia,20,4.24,1.83,1.31,0.02,0.04,0.06,0.03,18.25,29.23,0,0.14,0.05,0.04,0.35,0.16,51.25,0,12.87,0.31,0.2,49.25,207.25,12.5,11,11.21,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,
Cabbage,"Cabbage, average of common and Chinese (pe-tsai), and of raw and cooked",Vegetables,Other vegetables,Q7.1,N/A,Bangladesh,20,4.24,1.83,1.31,0.02,0.04,0.06,0.03,18.25,29.23,0,0.14,0.05,0.04,0.35,0.16,51.25,0,12.87,0.31,0.2,49.25,207.25,12.5,11,11.21,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,
Cabbage,"Cabbage, average of raw and cooked (boiled)",Vegetables,Other vegetables,Q7.1,N/A,Nigeria,24,5.66,2.2,1.31,0.02,0.02,0.04,0.02,4.5,37.05,0,0.15,0.06,0.04,0.24,0.12,36.5,0,15.5,0.32,0.19,44,183,13.5,13,11.77,0,0,0,0.12,0.8,0.1,0.44,No,No,No,,No,No,No,
Cabbage,"Cabbage, average of common and Chinese (pe-tsai), and of raw and cooked",Vegetables,Other vegetables,Q7.1,N/A,Kenya,20,4.24,1.83,1.31,0.02,0.04,0.06,0.03,18.25,29.23,0,0.14,0.05,0.04,0.35,0.16,51.25,0,12.87,0.31,0.2,49.25,207.25,12.5,11,11.21,0,0,0,0,0.8,0.1,0.44,No,No,No,,No,No,No,
