Food,Food_long,Food_group,DQQ_food_group,DQQ_question,USDA_FDC_ID,Country,Energy_kcal,Carbohydrates_g,Fiber_g,Protein_g,Monounsaturated_FAs_g,Polyunsaturated_FAs_g,Unsaturated_FAs_g,Saturated_FAs_g,VitA_RAE_mcg,VitC_mg,VitD_mcg,VitE_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_DFE_mcg,VitB12_mcg,Choline_mg,Iron_mg,Zinc_mg,Calcium_mg,Potassium_mg,Magnesium_mg,Sodium_mg,Phytate_mg,DHA_g,EPA_g,DPA_g,ALA_g,DIAAS,Iron_Abs,Zinc_Abs,Liquids,Unsweetened_dairy,Dried_consumed_rehydrated,Energy_kcal_fresh,UPF,Fortified_4Vitamins,Fortified_2Minerals,Comments
Eggs,"Egg, average of various cooking methods (omelet, scrambled, boiled, fried)",Animal-source foods,Eggs,Q13,N/A,Indonesia,164,1.05,0,11.69,4.89,2.45,7.34,3.56,175.25,0,1.98,1.2,0.05,0.44,0.07,0.15,42.5,0.9,269.88,1.47,1.14,56.5,131.75,11.25,157.75,0,0.05,0,0,0.35,1.1,0.15,0.44,No,No,No,,No,No,No,
Eggs,"Egg, average of various cooking methods (omelet, scrambled, boiled, fried)",Animal-source foods,Eggs,Q13,N/A,Bangladesh,164,1.05,0,11.69,4.89,2.45,7.34,3.56,175.25,0,1.98,1.2,0.05,0.44,0.07,0.15,42.5,0.9,269.88,1.47,1.14,56.5,131.75,11.25,157.75,0,0.05,0,0,0.35,1.1,0.15,0.44,No,No,No,,No,No,No,
Eggs,"Egg, average of various cooking methods (omelet, scrambled, boiled, fried)",Animal-source foods,Eggs,Q13,N/A,Nigeria,164,1.05,0,11.69,4.89,2.45,7.34,3.56,175.25,0,1.98,1.2,0.05,0.44,0.07,0.15,42.5,0.9,269.88,1.47,1.14,56.5,131.75,11.25,157.75,0,0.05,0,0,0.35,1.1,0.15,0.44,No,No,No,,No,No,No,
Eggs,"Egg, average of various cooking methods (omelet, scrambled, boiled, fried)",Animal-source foods,Eggs,Q13,N/A,Kenya,164,1.05,0,11.69,4.89,2.45,7.34,3.56,175.25,0,1.98,1.2,0.05,0.44,0.07,0.15,42.5,0.9,269.88,1.47,1.14,56.5,131.75,11.25,157.75,0,0.05,0,0,0.35,1.1,0.15,0.44,No,No,No,,No,No,No,
"Egg, guinea fowl","Egg, guinea fowl, boiled",Animal-source foods,Eggs,Q13,08_013 (WA FCT),Kenya,185,2.2,0,12.9,5.13,2.92,8.05,3.4,224,0,5.4,1,0.12,0.04,0.1,0.03,53,6.5,269.88,6.8,2.66,98,359,10,238,0,0.05,0,0,0.05,1.1,0.15,0.44,No,No,No,,No,No,No,
"Egg, quail","Egg, quail, boiled",Animal-source foods,Eggs,Q13,08_011 (WA FCT),Kenya,180,2.7,0,11.9,4.43,2.52,6.95,2.93,80,0,5.4,1,0.12,0.06,0.1,0.1,53,1.6,269.88,5,2.09,76,164,10,170,0,0.05,0,0,0.05,1.1,0.15,0.44,No,No,No,,No,No,No,
"Egg, turkey ","Egg, turkey, boiled",Animal-source foods,Eggs,Q13,08_012 (WA FCT),Kenya,183,5.1,0,11.5,5,1.81,6.81,3.97,76,0,0.8,1.5,0.09,0.04,0,0.11,57,1.8,269.88,6,2.47,94,187,12,193,0,0.05,0,0,0.03,1.1,0.15,0.44,No,No,No,,No,No,No,
Eggplant,"Eggplant, average of boiled and fried",Vegetables,Other vegetables,Q7.3,N/A,Indonesia,127,15.53,2.25,2.25,2.5,2.58,5.08,0.93,3.5,1.05,0.05,1.26,0.17,0.08,1.3,0.07,43,0.02,11.9,0.93,0.22,17,129,12.5,158,12.28,0,0,0,0.06,0.8,0.1,0.44,No,No,No,,No,No,No,
Eggplant,"Eggplant, average of boiled and fried",Vegetables,Other vegetables,Q7.1,N/A,Bangladesh,127,15.53,2.25,2.25,2.5,2.58,5.08,0.93,3.5,1.05,0.05,1.26,0.17,0.08,1.3,0.07,43,0.02,11.9,0.93,0.22,17,129,12.5,158,12.28,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,
Eggplant,"Eggplant, average of boiled and fried",Vegetables,Other vegetables,Q7.2,N/A,Kenya,127,15.53,2.25,2.25,2.5,2.58,5.08,0.93,3.5,1.05,0.05,1.26,0.17,0.08,1.3,0.07,43,0.02,11.9,0.93,0.22,17,129,12.5,158,12.28,0,0,0,0,0.8,0.1,0.44,No,No,No,,No,No,No,
Ethiopian kale,"Ethiopian kale, average of raw and cooked (boiled and steamed)",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Kenya,26,0.2,3.77,3.07,0.09,0.23,0.32,0.14,103.67,79.67,0,1.45,0.05,0.18,0.7,0.29,48.67,0,16.3,4.53,0.57,106,471.67,42.33,5.67,127,0,0,0,0.11,0.8,0.1,0.3,No,No,No,,No,No,No,
Fatty fish,"Oily fish, average of various species consumed in Indonesia and of different cooking methods",Animal-source foods,Fish and seafood,Q20,N/A,Indonesia,200,2.93,0.13,23.42,3.54,2.92,6.46,2.16,18.5,1.45,9.3,2.13,0.13,0.27,9.69,0.46,17,2.93,71.35,1.61,1.12,37.75,449.25,36,209,0,0.57,0.36,0.09,0.19,1,0.15,0.44,No,No,No,,No,No,No,
Fatty fish,"Oily fish, average of various species consumed in Bangladesh and of different cooking methods",Animal-source foods,Fish and seafood,Q20,N/A,Bangladesh,216,0,0,22.51,7,2.05,9.06,2.86,394,1.13,1.73,1.42,0.13,0.13,3.14,0.27,13.33,4.66,64.13,1.22,1.55,61.33,439.33,35,74.33,0,0.37,0.55,0.14,0.19,1,0.15,0.44,No,No,No,,No,No,No,
Fatty freshwater fish (eel),"Eel, average of various cooking methods",Animal-source foods,Fish and seafood,Q20,N/A,Kenya,214,0,0,22.31,9.22,1.21,10.43,3.02,1058,1.95,12.45,5.49,0.2,0.3,3.9,0.08,15.25,3.22,60.96,0.66,2.02,25,305.75,23.25,75,0,0.08,0.11,0.1,0.29,1,0.15,0.44,No,No,No,,No,No,No,No other fatty freshwater fish species consumed in East Africa were available
Fatty marine fish,"Fatty marine fish, average of various species consumed in East Africa, and of different cooking methods",Animal-source foods,Fish and seafood,Q20,N/A,Kenya,195,1.67,0.07,25.63,3.4,2.85,6.25,2.22,122.43,0.6,6.77,2.53,0.11,0.26,9.89,0.47,16.29,3.43,75.9,1.93,1.27,64.14,425.86,45.57,653.43,0,0.91,0.45,0.09,0.11,1,0.15,0.44,No,No,No,,No,No,No,
Fermented cow milk (Mala),"Milk, cow, whole, fermented ",Animal-source foods,Yogurt,Q15,N/A,Kenya,62,3.9,0,3.13,0.92,0.1,1.02,2.04,38,0.67,0.1,0.17,0.01,0.22,0.23,0.02,1,0.17,14.46,0.1,0.28,94,105.33,8.67,33.67,0,0,0,0,0.02,1.16,0.15,0.44,Yes,Yes,No,,No,No,No,
Refined wheat flat bread,"Bread, pita, white, unenriched",Starchy staples,Refined grains,Q1,172816,Nigeria,275,55.7,2.2,9.1,0.11,0.54,0.64,0.17,0,0,0,0.22,0.27,0.1,2.14,0.03,24,0,14.6,1.4,0.84,86,120,26,536,75.04,0,0,0,0.17,0.29,0.1,0.35,No,No,No,,No,No,No,"Used vit D and E, choline, DHA, EPA, DPA, and ALA values for bread "
Fresh baobab leaves,"Baobab leaves, fresh, average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Nigeria,63,5.45,10.9,3.95,0.03,0.18,0.21,0.11,204.5,33,0,0.43,0.03,0.04,1.75,0.34,73,0,20,3.05,0.8,308.5,284,42,37,80,0,0,0,0.12,0.8,0.1,0.35,No,No,No,,No,No,No,
Fresh maize,"Maize, seeds, fresh, boiled (without salt), drained",Starchy staples,Whole grains,Q2,04_108 (from WA FCT),Nigeria,189,24.8,16.8,6,0.84,1.43,2.27,0.59,5,3,0,0.1,0.08,0.06,1.7,0.05,57,0,29.1,1.6,0.61,26,208,40,2,196,0,0,0,0.04,0.42,0.1,0.26,No,No,No,,No,No,No,"Used phytate value for boiled corn; used choline, DHA, EPA, DPA, and eaa values for sweet maize"
Fufu,"Cassava, white, Fermented,sieved,cooked",Starchy staples,"White roots, tubers, and plantains",Q3,02_03_03 (from NG FCT),Nigeria,143,34.74,0.36,0.52,1.02,0.86,1.88,0.8,13,4.81,0,0.56,0.04,0.02,0.85,0.1,5.05,0.6,24.9,0.83,0.34,14.97,0.57,18.67,3.54,48,0,0,0,0.04,0.18,0.1,0.44,No,No,No,,No,No,No,"Used sat and unsat fat, vit A, D, E, B6, niacin, choline, efa and eaa values from cassava"
Full-fat cheese,"Cheese (high-fat), average of multiple varieties of soft and hard cheeses",Animal-source foods,Cheese,Q14,N/A,Indonesia,363,2.8,0,26.43,7.81,0.73,8.54,16.31,222,0,0.5,0.34,0.03,0.34,0.12,0.07,15.5,1.53,15.68,0.41,3.3,774.75,91.25,30,783.25,0,0,0,0,0.11,1.16,0.15,0.44,No,Yes,No,,No,No,No,
Full-fat cheese,"Cheese (high-fat), average of multiple varieties of soft and hard cheeses",Animal-source foods,Cheese,Q14,N/A,Bangladesh,363,2.8,0,26.43,7.81,0.73,8.54,16.31,222,0,0.5,0.34,0.03,0.34,0.12,0.07,15.5,1.53,15.68,0.41,3.3,774.75,91.25,30,783.25,0,0,0,0,0.11,1.16,0.15,0.44,No,Yes,No,,No,No,No,
Full-fat cheese,"Cheese (high-fat), average of multiple varieties of soft and hard cheeses",Animal-source foods,Cheese,Q14,N/A,Kenya,363,2.8,0,26.43,7.81,0.73,8.54,16.31,222,0,0.5,0.34,0.03,0.34,0.12,0.07,15.5,1.53,15.68,0.41,3.3,774.75,91.25,30,783.25,0,0,0,0,0.11,1.16,0.15,0.44,No,Yes,No,,No,No,No,
Eggplant,"Native eggplant, fruit, boiled (without salt), drained",Vegetables,Other vegetables,Q7.1,04_103 (from WA FCT),Nigeria,35,4.2,4.3,1.4,0.03,0.22,0.25,0.1,11,1,0,0.1,0.05,0.08,0.6,0.04,18,0,10.73,0.9,0.19,12,128,16,3,19,0,0,0,0.04,0.8,0.1,0.44,No,No,No,,No,No,No,
Githeri,"Githeri (maize and beans), average of different cooking methods and ingredients",Starchy staples,Whole grains,Q2,N/A,Kenya,174,17.53,9.37,7.13,0.35,0.66,1.01,0.23,2.67,3.5,0,0.33,0.12,0.08,1.07,0.2,54.33,0,55.2,2.03,1.18,32.33,302.67,36,333.67,325.28,0,0,0,0.13,0.83,0.1,0.26,No,No,No,,No,No,No,DIAAS: https://www.sciencedirect.com/science/article/pii/S0022316622003820
Goat,"Game meat, goat, cooked, roasted",Animal-source foods,Unprocessed red meat (ruminant),Q17,175304,Indonesia,143,0,0,27.1,1.36,0.23,1.59,0.93,0,0,0,0.34,0.09,0.61,3.95,0,5,1.19,106.4,3.73,5.27,17,405,0,86,0,0,0,0,0.02,1.12,0.2,0.44,No,No,No,,No,No,No,No other cooking methods available
Goat,"Game meat, goat, cooked, roasted",Animal-source foods,Unprocessed red meat (ruminant),Q17,175304,Bangladesh,143,0,0,27.1,1.36,0.23,1.59,0.93,0,0,0,0.34,0.09,0.61,3.95,0,5,1.19,106.4,3.73,5.27,17,405,0,86,0,0,0,0,0.01,1.12,0.2,0.44,No,No,No,,No,No,No,No other cooking methods available
Goat,"Game meat, goat, cooked, roasted",Animal-source foods,Unprocessed red meat (ruminant),Q17,175304,Nigeria,143,0,0,27.1,1.36,0.23,1.59,0.93,0,0,0,0.34,0.09,0.61,3.95,0,5,1.19,106.4,3.73,5.27,17,405,0,86,0,0,0,0,0.02,1.12,0.2,0.44,No,No,No,,No,No,No,No other cooking methods available
Goat,"Game meat, goat, cooked, roasted",Animal-source foods,Unprocessed red meat (ruminant),Q17,175304,Kenya,143,0,0,27.1,1.36,0.23,1.59,0.93,0,0,0,0.34,0.09,0.61,3.95,0,5,1.19,106.4,3.73,5.27,17,405,0,86,0,0,0,0,0.02,1.12,0.2,0.44,No,No,No,,No,No,No,No other cooking methods available
Goat liver,"Goat, liver, boiled (without salt) ",Animal-source foods,Organ meat,Q17,7045 (KE FCT),Kenya,176,0,0,30.5,2.45,1.04,3.49,3.64,19000,0.8,0.87,0.43,0.16,0.18,3.7,0.34,1,2.34,446.25,9.4,5.27,14,205,22,58,0,0.18,0.02,0.05,0.02,1.12,0.2,0.44,No,No,No,,No,No,No,
Grapefruit,"Grapefruit, raw, pink and red and white, all areas",Fruits,Citrus,Q9,173033,Indonesia,32,8.08,1.1,0.63,0.01,0.02,0.04,0.01,46,34.4,0,0.13,0.04,0.02,0.25,0.04,10,0,7.7,0.09,0.07,12,139,8,0,20.36,0,0,0,0.11,0.7,0.1,0.44,No,No,No,,No,No,No,Phytate value for grapefruit missing; used phytate value for pomelo as a proxy
Grapefruit,"Grapefruit, raw, pink and red and white, all areas",Fruits,Citrus,Q9,173033,Bangladesh,32,8.08,1.1,0.63,0.01,0.02,0.04,0.01,46,34.4,0,0.13,0.04,0.02,0.25,0.04,10,0,7.7,0.09,0.07,12,139,8,0,20.36,0,0,0,0.11,0.7,0.1,0.44,No,No,No,,No,No,No,Phytate value for grapefruit missing; used phytate value for pomelo as a proxy
Grapefruit,"Grapefruit, raw, pink and red and white, all areas",Fruits,Citrus,Q9,173033,Nigeria,32,8.08,1.1,0.63,0.01,0.02,0.04,0.01,46,34.4,0,0.13,0.04,0.02,0.25,0.04,10,0,7.7,0.09,0.07,12,139,8,0,20.36,0,0,0,0.12,0.7,0.1,0.44,No,No,No,,No,No,No,Phytate value for grapefruit missing; used phytate value for pomelo as a proxy
Grapes,"Grapes, average of multiple varieties, raw",Fruits,Other fruits,Q10.2,N/A,Kenya,64,16.39,1.9,0.72,0.01,0.08,0.09,0.08,3.67,4.57,0,0.19,0.08,0.54,0.24,0.1,3,0,5.6,0.3,0.07,20.33,195,8.67,1.67,1.16,0,0,0,0.04,0.7,0.1,0.44,No,No,No,,No,No,No,For phytate: used an average of multiple seeded & seedless varieties
Green banana,"Green banana, average of boiled and fried",Starchy staples,"White roots, tubers, and plantains",Q3,N/A,Indonesia,133,31.34,1.65,1.28,0.59,0.58,1.17,0.2,52.5,15.35,0,0.24,0.06,0.07,0.63,0.21,18.5,0,13.3,0.55,0.19,3,478.5,35.5,118,11.48,0,0,0,0.08,0.71,0.1,0.44,No,No,No,,No,No,No,
Green banana,"Green banana, average of boiled and fried",Starchy staples,"White roots, tubers, and plantains",Q3,N/A,Kenya,133,31.34,1.65,1.28,0.59,0.58,1.17,0.2,52.5,15.35,0,0.24,0.06,0.07,0.63,0.21,18.5,0,13.3,0.55,0.19,3,478.5,35.5,118,11.48,0,0,0,0.08,0.62,0.1,0.44,No,No,No,,No,No,No,
Green beans,"Beans, snap, green, cooked, boiled, drained, without salt",Vegetables,Other vegetables,Q7.3,169141,Kenya,35,7.88,3.2,1.89,0.01,0.15,0.16,0.06,32,9.7,0,0.46,0.07,0.1,0.61,0.06,33,0,16.9,0.65,0.25,44,146,18,1,688,0,0,0,0.08,0.8,0.1,0.26,No,No,No,,No,No,No,"Used phytate for winged bean as as a proxy, as value for green bean was missing"
Green beans,"Beans, snap, green, cooked, boiled, drained, without salt",Vegetables,Other vegetables,Q7.1,169141,Indonesia,35,7.88,3.2,1.89,0.01,0.15,0.16,0.06,32,9.7,0,0.46,0.07,0.1,0.61,0.06,33,0,16.9,0.65,0.25,44,146,18,1,688,0,0,0,0.07,0.8,0.1,0.26,No,No,No,,No,No,No,"Used phytate for winged bean as as a proxy, as value for green bean was missing"
Green beans,"Beans, snap, green, cooked, boiled, drained, without salt",Vegetables,Other vegetables,Q7.1,169141,Bangladesh,35,7.88,3.2,1.89,0.01,0.15,0.16,0.06,32,9.7,0,0.46,0.07,0.1,0.61,0.06,33,0,16.9,0.65,0.25,44,146,18,1,688,0,0,0,0.07,0.8,0.1,0.26,No,No,No,,No,No,No,"Used phytate for winged bean as as a proxy, as value for green bean was missing"
Mung beans,"Mung beans, mature seeds, cooked, boiled, without salt","Pulses, nuts, and seeds",Legumes,Q4,174257,Kenya,105,19.15,7.6,7.02,0.05,0.13,0.18,0.12,1,1,0,0.15,0.16,0.06,0.58,0.07,159,0,29.4,1.4,0.84,27,266,48,2,714.71,0,0,0,0.36,0.86,0.1,0.26,No,No,No,,No,No,No,
Green papaya,"Green papaya, average of raw and cooked (boiled)",Vegetables,Other vegetables,Q7.3,N/A,Bangladesh,31,5.9,1.55,0.8,0.01,0.05,0.06,0.02,1,15.4,0,0.25,0.03,0.02,0.15,0.11,12.22,0,9.9,0.6,0.21,16,111.5,52,7.5,23,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,
Green peas,"Peas, green, cooked, boiled, drained, without salt","Pulses, nuts, and seeds",Legumes,Q4,170420,Kenya,84,15.63,5.5,5.36,0.02,0.1,0.12,0.04,40,14.2,0,0.14,0.26,0.15,2.02,0.22,63,0,29.7,1.54,1.19,27,271,39,3,560,0,0,0,0,0.46,0.1,0.26,No,No,No,,No,No,No,"For phytate, used split grass pea, dried as proxy"
Green pepper,"Green pepper, average of raw and cooked (boiled and sauted)",Vegetables,Other vegetables,Q7.1,N/A,Indonesia,55,5.19,1.57,0.85,0.79,2.02,2.81,0.56,18.33,110.6,0,0.76,0.05,0.04,0.51,0.22,13,0,5.9,0.37,0.1,9,158.33,9.33,7.33,15.96,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,
Green pepper,"Green pepper, average of raw and cooked (boiled and sauted)",Vegetables,Other vegetables,Q7.1,N/A,Kenya,55,5.19,1.57,0.85,0.79,2.02,2.81,0.56,18.33,110.6,0,0.76,0.05,0.04,0.51,0.22,13,0,5.9,0.37,0.1,9,158.33,9.33,7.33,15.96,0,0,0,0.02,0.8,0.1,0.44,No,No,No,,No,No,No,
Green plantain,"Green plantain, cooked, average of fried and boiled",Starchy staples,"White roots, tubers, and plantains",Q3,N/A,Nigeria,215,39.16,3.05,1.3,2.18,1.39,3.57,1.88,60,6.25,0,0,0.05,0.08,0.6,0.24,37.5,0,13.1,0.49,0.19,3.5,385.5,43,2,17.16,0,0,0,0.12,0.71,0.1,0.44,No,No,No,,No,No,No,"Used vit D and E, folate, and choline from yellow plantain"
Ground beef,"Beef, ground, average of various degrees of fat, forms, and cooking methods",Animal-source foods,Unprocessed red meat (ruminant),Q17,N/A,Nigeria,253,0,0,26.05,7.02,0.46,7.49,6.06,3,0,0,0.12,0.05,0.18,5.51,0.37,9.2,2.76,82.86,2.67,6.36,25.6,341.6,22,82.2,0,0,0,0,0.04,1.12,0.2,0.44,No,No,No,,No,No,No,
Ground pork,"Pork, ground, average of various degrees of fat, cooked, pan-broiled",Animal-source foods,Unprocessed red meat (non-ruminant),Q18,N/A,Nigeria,288,0.55,0,27.14,8.92,2.7,11.61,6.71,0,0,0.5,0.44,0.35,0.46,8.57,0.54,3.67,0.97,85.63,1.16,2.54,20,345,21.67,89.33,0,0.01,0,0.02,0.12,1.26,0.15,0.44,No,No,No,,No,No,No,No other cooking methods available
Guava,"Guavas, common, raw",Fruits,Other fruits,Q10.1,173044,Indonesia,68,14.3,5.4,2.55,0.09,0.4,0.49,0.27,31,228.3,0,0.73,0.07,0.04,1.08,0.11,49,0,7.6,0.26,0.23,18,417,22,2,50.63,0,0,0,0.05,0.7,0.1,0.44,No,No,No,,No,No,No,For phytate: used an average of pink and white flesh guava
Guava,"Guavas, common, raw",Fruits,Other fruits,Q10.1,173044,Bangladesh,68,14.3,5.4,2.55,0.09,0.4,0.49,0.27,31,228.3,0,0.73,0.07,0.04,1.08,0.11,49,0,7.6,0.26,0.23,18,417,22,2,50.63,0,0,0,0.06,0.7,0.1,0.44,No,No,No,,No,No,No,For phytate: used an average of pink and white flesh guava
Guava,"Guavas, common, raw",Fruits,Other fruits,Q10.1,173044,Nigeria,68,14.3,5.4,2.55,0.09,0.4,0.49,0.27,31,228.3,0,0.73,0.07,0.04,1.08,0.11,49,0,7.6,0.26,0.23,18,417,22,2,50.63,0,0,0,0.13,0.7,0.1,0.44,No,No,No,,No,No,No,For phytate: used an average of pink and white flesh guava
Guava,"Guavas, common, raw",Fruits,Other fruits,Q10.2,173044,Kenya,68,14.3,5.4,2.55,0.09,0.4,0.49,0.27,31,228.3,0,0.73,0.07,0.04,1.08,0.11,49,0,7.6,0.26,0.23,18,417,22,2,50.63,0,0,0,0.11,0.7,0.1,0.44,No,No,No,,No,No,No,For phytate: used an average of pink and white flesh guava
Guinea fowl,"Guinea fowl meat, average of different cooking methods",Animal-source foods,Poultry,Q19,N/A,Nigeria,138,0,0,27.95,0.8,1.03,1.83,0.93,10.5,2,0.85,1.12,0.1,0.25,11,0.37,4.5,0.28,75.47,1.15,1.8,27.5,101.5,23.5,15.5,0,0.02,0.01,0.01,0.03,1.08,0.15,0.44,No,No,No,,No,No,No,
Guinea fowl,"Guinea fowl meat, average of various cooking methods (boiled, grilled, stewed)",Animal-source foods,Poultry,Q19,N/A,Kenya,143,0,0,28.87,0.83,1.06,1.89,0.96,11.67,2,0.97,1.38,0.11,0.26,6.5,0.42,4.67,0.31,76.77,1.33,1.85,30,128.33,27,18.67,0,0.01,0.01,0.02,0.03,1.08,0.15,0.44,No,No,No,,No,No,No,
Hog plum,"Hog plum, raw (amra)",Fruits,Other fruits,Q10.2,08_0016 (from BGD FCT),Bangladesh,51,8.9,1.6,1.1,0.08,0.16,0.23,0.06,4.4,77,0,0.11,0.28,0.04,0.3,0.06,13,0,7.35,2.8,0.17,57,175,40,1,3.81,0,0,0,0.2,0.7,0.1,0.44,No,No,No,,No,No,No,Phytate value for hog plum missing; used phytate value for plum as a proxy
Horse,"Game meat, horse, cooked, roasted",Animal-source foods,Unprocessed red meat (non-ruminant),Q18,175087,Indonesia,175,0,0,28.14,2.12,0.85,2.97,1.9,0,2,0.41,0.36,0.1,0.12,4.84,0.33,6,3.16,110.46,5.03,3.82,8,379,25,55,0,0,0,0,0.12,1.26,0.15,0.44,No,No,No,,No,No,No,No other cooking methods available
"Injera, average","Injera, average of wheat, sorghum, maize, millet",Starchy staples,Whole grains,Q2,N/A,Kenya,145,31.55,2.75,4.51,0.52,0.58,1.1,0.56,0.57,0.92,0,0.15,0.12,0.07,1.02,0.14,14.63,0,6.38,5.37,0.78,40.27,104.17,40.89,37.17,114.63,0,0,0,0.02,0.47,0.1,0.3,No,No,No,,No,No,No,
"Injera, fermented maize","Injera, maize, fermented, average of multiple sources",Starchy staples,Whole grains,Q2,N/A,Kenya,150,32.69,2.29,3.05,0.42,0.73,1.15,0.23,1.57,1.33,0,0.17,0.11,0.05,0.66,0.15,10.39,0,8.98,1.36,0.72,3.27,130.89,38.64,2.08,222.47,0,0,0,0,0.77,0.1,0.26,No,No,No,,No,No,No,
"Injera, fermented millet (fortified)","Injera, millet, fermented, average of multiple sources",Starchy staples,Whole grains,Q2,N/A,Kenya,136,32.2,2.9,3.9,0.21,0.58,0.79,0.2,0,1,0,0.02,0.09,0.04,0.2,0.12,21.71,0,12.8,16.8,1.04,129,70.86,50.29,2.29,70.56,0,0,0,0.06,0.35,0.1,0.35,No,No,No,,No,No,Yes,
"Injera, fermented sorghum","Injera, sorghum, fermented, average of multiple sources",Starchy staples,Whole grains,Q2,N/A,Kenya,152,33.73,2.88,7.49,0.46,0.65,1.1,0.24,0.69,0.33,0,0.15,0.12,0.05,1.47,0.14,8.25,0,0,1.91,0.61,7.7,121.21,47.85,1.78,75,0,0,0,0.01,0.43,0.1,0.35,No,No,No,,No,No,No,
"Injera, fermented wheat","Injera, wheat, fermented, average of multiple sources",Starchy staples,Whole grains,Q2,N/A,Kenya,143,27.58,2.92,3.58,1,0.36,1.36,1.58,0.03,1,0,0.26,0.17,0.13,1.75,0.13,18.17,0,3.73,1.43,0.74,21.11,93.74,26.78,142.52,137,0,0,0,0.01,0.32,0.1,0.3,No,No,No,,No,No,No,
Instant noodles,"Instant noodles (Indomie), made from wheat flour, previously fried and dried, without flavouring, boiled and drained",Ultra-processed foods,Instant noodles,Q23,01_103 (from WA FCT),Nigeria,200,25.3,1.3,5.6,3.07,0.89,3.96,3.93,0,0,0,1.1,0.12,0.12,1.4,0.05,5,0,6.4,0.3,0.22,12,22,10,108,164.74,0,0,0,0.02,0.56,0.1,0.26,No,No,No,,Yes,No,No,"Used choline, DHA, DPA, EPA, and eaa values for refined pasta"
Jackfruit,"Jackfruit, raw",Fruits,Other fruits,Q10.1,174687,Bangladesh,95,23.2,1.5,1.72,0.16,0.09,0.25,0.2,5,13.7,0,0.34,0.11,0.06,0.92,0.33,24,0,6.08,0.23,0.13,24,448,29,2,68.79,0,0,0,0.08,0.7,0.1,0.35,No,No,No,,No,No,No,
Jackfruit seeds,"Jackfruit seeds, raw","Pulses, nuts, and seeds",Nuts and seeds,Q21,06_0008 (from BGD FCT),Bangladesh,151,30.4,1.5,5.6,25.53,13.54,39.07,7.56,0,8.6,0,6.72,0.21,0.11,3.1,0.43,152.33,0,57.37,1.5,3.11,40,246,54,63,141,0,0,0,0.03,0.67,0.1,0.3,No,No,No,,No,No,No,
Java plum,"Java-plum, raw (jambolan)",Fruits,Other fruits,Q10.2,168150,Bangladesh,60,15.56,1.9,0.72,0.08,0.16,0.23,0.06,0,14.3,0,0.11,0.01,0.01,0.26,0.04,13,0,7.35,0.19,0.09,19,79,15,14,8,0,0,0,0.2,0.7,0.1,0.44,No,No,No,,No,No,No,
Jujube,"Jujube, raw",Fruits,Other fruits,Q10.2,168151,Bangladesh,79,20.23,1.9,1.2,0.08,0.16,0.23,0.06,2,69,0,0.11,0.02,0.04,0.9,0.08,13,0,7.35,0.48,0.05,21,250,10,3,15.8,0,0,0,0.2,0.7,0.1,0.44,No,No,No,,No,No,No,
Jute mallow leaves,"Jute mallow leaves (ewedu), average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Nigeria,50,3.2,8.35,4.3,0.03,0.19,0.22,0.06,263.5,52,0,0.43,0.1,0.26,1.35,0.5,89.5,0,20,6.35,0.67,277.5,206,62,10.5,38.75,0,0,0,0,0.8,0.1,0.44,No,No,No,,No,No,No,
Jute mallow leaves,"Jute mallow leaves, average of raw and cooked (boiled and stewed)",Vegetables,Dark green leafy vegetables,Q6.2,N/A,Kenya,57,5.4,7.48,4.83,0.09,0.23,0.32,0.14,270.3,33.25,0,1.05,0.11,0.42,0.78,0.4,109,0,16.3,6.27,0.53,332,336.56,40.75,34.16,16.47,0,0,0,0.11,0.8,0.1,0.44,No,No,No,,No,No,No,
Kohlrabi,"Kohlrabi, average of raw and cooked (boiled)",Vegetables,Other vegetables,Q7.3,N/A,Bangladesh,28,6.45,2.35,1.75,0.01,0.05,0.06,0.01,2,58,0,0.5,0.05,0.02,0.4,0.15,14,0,12.75,0.4,0.17,24.5,345,19,20.5,9.81,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,
Lamb,"Lamb, average of various cuts, deegrees of fat, and cooking methods",Animal-source foods,Unprocessed red meat (ruminant),Q17,N/A,Indonesia,252,0,0,25.82,6.51,1.25,7.75,6.33,0,0,0.1,0.17,0.1,0.26,6.6,0.14,20.6,2.63,100.6,2.08,4.92,17.4,309,26,76,0,0,0,0,0.02,1.12,0.2,0.44,No,No,No,,No,No,No,
Lamb,"Lamb, average of various cuts, deegrees of fat, and cooking methods",Animal-source foods,Unprocessed red meat (ruminant),Q17,N/A,Nigeria,252,0,0,25.82,6.51,1.25,7.75,6.33,0,0,0.1,0.17,0.1,0.26,6.6,0.14,20.6,2.63,100.6,2.08,4.92,17.4,309,26,76,0,0,0,0,0.02,1.12,0.2,0.44,No,No,No,,No,No,No,
